type,time,bl,act_diff,ref_diff,ratio_raw,ratio_filt,baseline,rsp_raw,rsp_filt,abs_raw,abs_filt,temp_avg
PROC,72.375,1,119,91,1.3077,1.1002,1.3582,-3.72,-15.55,0.0379,0.1663,557
PROC,73.375,1,95,73,1.3014,1.1404,1.3582,-4.18,-13.28,0.0427,0.1416,526
PROC,73.625,1,115,70,1.6429,1.2409,1.3582,+20.96,-6.43,-0.1897,0.0753,572
PROC,74.625,1,100,57,1.7544,1.3436,1.3582,+29.17,+0.69,-0.2546,0.0093,541
PROC,74.875,1,90,46,1.9565,1.4662,1.3582,+44.05,+9.36,-0.3610,-0.0647,556
PROC,75.125,1,44,57,0.7719,1.3273,1.3582,-43.17,-1.14,0.5505,0.0583,527
PROC,75.375,1,52,53,0.9811,1.2581,1.3582,-27.76,-6.47,0.3224,0.1111,418
PROC,75.875,1,77,41,1.8780,1.3821,1.3582,+38.27,+2.48,-0.3213,0.0246,546
PROC,76.125,1,56,58,0.9655,1.2988,1.3582,-28.91,-3.80,0.3380,0.0873,518
PROC,76.375,1,82,79,1.0380,1.2466,1.3582,-23.58,-7.75,0.2673,0.1233,483
PROC,77.375,1,74,72,1.0278,1.2028,1.3582,-24.33,-11.07,0.2770,0.1540,502
PROC,77.625,1,104,97,1.0722,1.1767,1.3582,-21.06,-13.07,0.2354,0.1703,463
PROC,78.625,1,95,71,1.3380,1.2090,1.3582,-1.49,-10.75,0.0150,0.1392,475
PROC,78.875,1,117,84,1.3929,1.2458,1.3582,+2.55,-8.09,-0.0252,0.1064,428
PROC,79.875,1,91,56,1.6250,1.3216,1.3582,+19.64,-2.54,-0.1789,0.0493,470
PROC,80.125,1,113,60,1.8833,1.4339,1.3582,+38.66,+5.70,-0.3240,-0.0254,444
PROC,80.375,1,39,51,0.7647,1.3001,1.3582,-43.70,-4.18,0.5591,0.0915,470
PROC,80.625,1,53,51,1.0392,1.2479,1.3582,-23.49,-8.04,0.2661,0.1265,594
PROC,81.375,1,80,41,1.9512,1.3886,1.3582,+43.66,+2.30,-0.3584,0.0295,464
PROC,81.625,1,74,76,0.9737,1.3056,1.3582,-28.31,-3.82,0.3298,0.0895,494
PROC,82.625,1,57,60,0.9500,1.2345,1.3582,-30.05,-9.07,0.3537,0.1424,495
PROC,82.875,1,98,92,1.0652,1.2006,1.3582,-21.57,-11.57,0.2418,0.1623,530
PROC,83.875,1,75,74,1.0135,1.1632,1.3582,-25.38,-14.33,0.2907,0.1879,516
PROC,84.125,1,117,92,1.2717,1.1849,1.3582,-6.37,-12.74,0.0658,0.1635,556
PROC,85.125,1,90,74,1.2162,1.1912,1.3582,-10.45,-12.28,0.1103,0.1529,530
PROC,85.375,1,119,75,1.5867,1.2703,1.3582,+16.82,-6.46,-0.1552,0.0913,573
PROC,86.375,1,100,61,1.6393,1.3441,1.3582,+20.70,-1.03,-0.1876,0.0355,538
PROC,86.625,1,98,54,1.8148,1.4382,1.3582,+33.62,+5.90,-0.2878,-0.0292,559
PROC,86.875,1,35,49,0.7143,1.2934,1.3582,-47.41,-4.76,0.6214,0.1009,532
PROC,87.125,1,46,49,0.9388,1.2225,1.3582,-30.88,-9.99,0.3652,0.1538,408
PROC,87.625,1,83,45,1.8444,1.3469,1.3582,+35.80,-0.83,-0.3037,0.0623,539
PROC,87.875,1,57,54,1.0556,1.2886,1.3582,-22.28,-5.12,0.2508,0.1000,522
PROC,88.125,1,81,80,1.0125,1.2334,1.3582,-25.45,-9.19,0.2916,0.1383,493
