 RAW,19.500,1,926,919,871,907,754,871,569.1,555.2,502.9,0
 RAW,19.625,0,52,57,26,589,622,298,574.1,571.9,451.7,0
 RAW,19.750,1,410,387,717,410,387,717,533.1,525.7,518.0,0
 RAW,19.875,0,993,976,999,907,754,871,626.6,582.7,606.3,0
 PROC,19.875,0,93,57,1.6316,1.3375,1.0000,+0.00,+0.00,-0.4800,-0.2446,562
 RAW,20.000,1,178,299,37,410,387,717,572.4,533.8,634.0,0
 RAW,20.125,0,80,103,154,178,299,154,473.8,475.1,514.0,0
 PROC,20.125,0,99,58,1.7069,1.4114,1.0000,+0.00,+0.00,-0.5223,-0.3001,573
 RAW,20.250,1,985,982,1018,410,387,717,457.9,453.1,564.7,1
 RAW,20.375,0,593,628,308,593,628,308,491.6,496.8,500.5,0
 PROC,20.375,0,34,43,0.7907,1.2873,1.0000,+0.00,+0.00,0.2338,-0.1934,532
 RAW,20.500,1,49,57,48,178,299,154,413.2,447.4,413.9,0
 RAW,20.625,0,888,745,1023,593,628,308,458.2,492.5,387.4,1
 PROC,20.625,0,45,45,1.0000,1.2298,1.0000,+0.00,+0.00,-0.0000,-0.1547,400
 RAW,20.750,1,929,918,869,888,745,869,565.6,555.6,507.8,0
 RAW,20.875,0,54,55,29,593,628,308,572.5,573.7,457.9,0
 RAW,21.000,1,397,373,683,397,373,683,528.6,523.5,514.2,0
 RAW,21.125,0,991,977,1000,888,745,869,618.5,578.9,602.9,0
 PROC,21.125,0,90,55,1.6364,1.3111,1.0000,+0.00,+0.00,-0.4828,-0.2203,558
 RAW,21.250,1,236,370,38,397,373,683,563.1,527.4,622.9,0
 RAW,21.375,0,87,111,128,236,370,128,481.3,488.1,499.2,0
 RAW,21.500,1,980,736,1014,397,373,683,460.2,459.3,545.1,0
 RAW,21.625,0,666,566,383,666,566,383,511.7,486.0,504.6,0
 RAW,21.750,1,59,89,59,236,370,128,442.8,457.0,410.4,0
 RAW,21.875,0,684,498,1008,666,498,383,498.6,467.2,403.6,0
 RAW,22.000,1,922,733,868,684,566,868,544.9,491.9,519.7,0
 RAW,22.125,0,190,165,51,666,498,383,575.2,493.4,485.5,0
 RAW,22.250,1,307,275,573,307,275,573,508.1,438.8,507.4,0
 RAW,22.375,0,988,781,1000,684,498,868,552.1,453.6,597.5,0
 RAW,22.500,1,383,274,46,383,275,573,509.8,409.0,591.4,0
 RAW,22.625,0,87,113,165,307,274,165,459.1,375.2,484.8,0
 RAW,22.750,1,910,568,998,383,275,573,440.1,350.2,506.9,0
 RAW,22.875,0,697,468,501,697,468,501,504.3,379.6,505.4,0
 RAW,23.000,1,69,79,64,383,274,165,474.0,353.2,420.3,0
 RAW,23.125,0,636,485,1005,636,468,501,514.5,381.9,440.5,0
 RAW,23.250,1,941,749,914,697,485,914,560.1,407.7,558.9,0
 RAW,23.375,0,161,235,35,636,468,501,579.1,422.8,544.4,0
 RAW,23.500,1,243,215,450,243,235,450,495.1,375.8,520.8,0
 RAW,23.625,0,982,675,999,636,485,914,530.3,403.1,619.1,0
 RAW,23.750,1,439,320,43,439,320,450,507.5,382.3,576.8,0
 RAW,23.875,0,73,92,115,243,235,115,441.4,345.5,461.4,0
 RAW,24.000,1,939,607,1013,439,320,450,440.8,339.1,458.5,0
 RAW,24.125,0,777,547,584,777,547,584,524.8,391.1,489.9,0
 PROC,24.125,0,84,52,1.6154,1.3720,1.0000,+0.00,+0.00,-0.4706,-0.2704,473
 RAW,24.250,1,67,87,76,439,320,115,503.4,373.3,396.2,0
 RAW,24.375,0,581,448,974,581,448,584,522.8,392.0,443.1,0
 RAW,24.500,1,910,550,849,777,547,849,586.3,430.7,544.6,0
 RAW,24.625,0,268,175,60,581,448,584,585.0,435.1,554.4,0
 RAW,24.750,1,260,227,443,268,227,443,505.7,383.0,526.6,0
 RAW,24.875,0,937,590,980,581,448,849,524.6,399.3,607.2,0
 RAW,25.000,1,471,278,159,471,278,443,511.2,369.0,566.1,0
 RAW,25.125,0,105,110,163,268,227,163,450.4,333.5,465.4,0
 RAW,25.250,1,787,547,999,471,278,443,455.5,319.6,459.8,0
 RAW,25.375,0,712,433,579,712,433,579,519.7,348.0,489.6,0
 RAW,25.500,1,99,89,64,471,278,163,507.5,330.5,407.9,0
 RAW,25.625,0,514,386,823,514,386,579,509.1,344.3,450.7,0
 RAW,25.750,1,871,545,864,712,433,823,559.8,366.5,543.8,0
 RAW,25.875,0,279,178,68,514,386,579,548.4,371.4,552.6,0
 RAW,26.000,1,227,200,380,279,200,380,481.0,328.5,509.4,0
 RAW,26.125,0,864,569,984,514,386,823,489.3,342.9,587.8,0
 RAW,26.250,1,481,299,274,481,299,380,487.2,331.9,535.9,0
 RAW,26.375,0,92,112,158,279,200,274,435.2,298.9,470.4,0
 RAW,26.500,1,743,505,1003,481,299,380,446.6,299.0,447.8,0
 RAW,26.625,0,741,461,634,741,461,634,520.2,339.5,494.4,0
 PROC,26.625,0,74,41,1.8049,1.4586,1.0000,+0.00,+0.00,-0.5739,-0.3311,470
